consumer_id,gender,has_gender,has_first_name,has_last_name,has_email,has_dob,customer_age,account_age,account_last_updated,account_status,app_downloads,unique_offer_clicked,total_offer_clicks,unique_offer_rides,total_offer_rides,avg_claims,min_claims,max_claims,total_offers_claimed
1284b75c-ecae-4015-8e3d-359c0347ede8,,0,1,1,1,0,,188,174,0,1,3,3,8,52,1,1,1,1
128af162-d2c3-4fe4-986c-359c8bdc6c04,,0,1,1,1,0,,185,174,0,1,3,8,5,58,1,1,1,1
12aada5e-36eb-4e9e-8d62-359c076c1b40,,0,1,1,1,0,,188,174,0,1,3,4,9,183,1,1,1,3
12c2e02f-bc79-4048-83ba-359cd3280dcf,,0,1,1,1,0,,184,174,0,1,3,7,4,56,1,1,1,1
12fabdf0-0582-489e-a6d3-35509ab8ae6f,f,1,1,1,1,1,22,572,173,0,1,4,6,7,83,1,1,1,3
811625dc-6e1e-476f-bdc2-359b0b0abe20,,0,1,1,1,0,,193,174,0,1,1,1,1,7,1,1,1,1
815d231a-d382-4aa2-8e21-359c9be5e423,f,1,1,1,1,1,17,185,174,0,1,1,1,4,22,1,1,1,2
818c43e7-df25-4e8b-a274-355e49e8f505,f,1,1,1,1,1,20,502,176,0,1,2,3,11,62,1,1,1,1
2a9258b2-0f10-4a84-ac08-359e39e3dd5c,,0,1,1,1,0,,177,174,0,1,1,2,4,12,1,1,1,1
2b07ca5f-a254-4b5a-a24d-359c01d502ee,,0,1,1,1,0,,188,177,0,1,3,4,4,49,1,1,1,2
3ec71bae-512f-4d69-9380-359eb8b09a2e,f,1,1,1,1,1,18,174,174,0,1,3,7,6,44,1,1,1,2
3eef997f-9718-423e-a77e-359b1687e9b3,m,1,1,1,1,1,18,192,174,0,1,3,3,12,47,1,1,1,2
3ef780c8-a7b0-404f-8bfc-3546e6356968,,0,1,1,1,0,,621,174,0,1,1,1,6,21,1,1,1,1
3f7b4f28-021a-4c5b-b3f7-355addac13e8,,0,1,1,1,0,,519,174,0,1,1,1,10,41,1,1,1,1
68c2f3ed-f7df-402b-abd0-359c6817ef92,m,1,1,1,1,0,,186,174,0,1,2,2,4,16,1,1,1,1
68e31053-f21d-4c55-b535-359e38407037,,0,1,1,1,0,,177,174,0,1,3,4,5,39,1,1,1,3
9776fa8d-af89-4345-a886-359c0bb589b4,,0,1,1,1,0,,188,174,0,1,4,4,9,26,1,1,1,1
97d385f3-dc64-4cc3-88fd-3589de4b22d5,f,1,1,1,1,1,19,280,174,0,1,1,1,10,38,1,1,1,1
97d91ec7-d28a-4b37-83ac-359ebd12e2d9,f,1,1,1,1,1,18,174,174,0,1,3,5,6,47,1,1,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
